Day 3:     975 total calories                  Calories
-----------------------------------------------------------
Breakfast      Orange & Coffee/Tea                 70
Snack          Melba Toast(15 grams)-3pcs          140 
Lunch          Chicken(4oz)                        130
Lunch Sides    Broccoli(6oz) & Potato              160
Lunch Sides    Salad(no calorie dressing) & Apple  100
Dinner         Tilapia(3.5oz)                      100
Dinner Sides   Cauliflower(6oz) & Light Soup       140
Snacks         Straweberries(6-7) & 100 cal snack  145
