Day 1:         985 total calories              Calories
-------------------------------------------------------
Breakfast      Orange & Coffee/Tea             70
Snack          Melba Toast(15 grams)-3pcs      60 
Lunch          Grilled Chicken(4oz)            130
Lunch Sides    Spinach (6oz) & Yogurt          140
Snacks         Strawberies(6) & 100 cal snack  145
Dinner         Tilapia(3.5oz)                  100
Dinner Sides   Broccoli(6oz) & Baked Potato    170
Snacks         Apple(medium) & Light Soup      170
