Day 6:         995 total calories                    Calories
-------------------------------------------------------------
Breakfast      Strawberries(6-7),Coffe/Tea           45
Snack          Orange & 100 Cal.Snack                170 
Lunch          Sirlon Steak (3oz)                    160
Lunch Sides    Cauliflower(6oz)                      40
Lunch Sides    Tomatoes(7oz) & Yogurt                140
Dinner         Tilapia(3.5oz) & Potato               200
Dinner Sides   Asparagus (7oz) & Melba Toast (10g)   80
Snacks         Apple & Light Soup                    170
