Day 7:         995 total calories               Calories
--------------------------------------------------------
Breakfast      Coffee/Tea & Apple               70
Snack          Melba Toast (10 grams) & Yogurt  140 
Lunch          Hamburger(3oz) 93% lean,no bun   150
Lunch Sides    Celery (7oz) & Ligt soup         130
Lunch Sides    Strawberries 6oz or 6-7          45
Dinner         Shrimp (3.5oz)                   110
Dinner Sides   Brocoli (6oz) & Potao            160
Snacks         Orange & Yogurt                  170
